Club Name,Pitch Name,Latitude,Longitude,Province,Country,Division,County,Directions,Twitter,Elevation,Annual Rainfall,Rain Days,Uses VEO,VEO Recordings,VEO Club Identifier
Castlemitchell,,53.02226900,-7.03253200,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.022269,-7.032532",https://twitter.com/mitchellsgfc,62.00,872.30,252.00,false,0,
Castlepollard GAA,,53.68095000,-7.30986800,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.68095,-7.309868",,90.00,924.80,265.00,false,0,
Castlerahan GAA,Fay Park,53.86123200,-7.20992900,Ulster,Ireland,Cavan,Cavan,"https://maps.google.com/?daddr=53.861232,-7.209929",https://twitter.com/castlerahan_gaa,101.00,1006.36,281.00,false,0,
Castletown,,53.76734200,-6.69019600,Leinster,Ireland,Meath,Meath,"https://maps.google.com/?daddr=53.767342,-6.690196",https://twitter.com/castletowngfc,78.00,859.50,244.00,false,0,
Castletown,Daingenroe,52.98006200,-7.50365800,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=52.980062,-7.503658",https://twitter.com/gaacastletown,101.00,877.90,248.00,false,0,
Castletown/Ballyagran,,52.40151700,-8.78527000,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.401517,-8.78527",https://twitter.com/ctbgaa,101.00,968.40,258.00,false,0,
Castletownbere,,51.64363500,-9.92567900,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.643635,-9.925679",https://twitter.com/ctb_gaa,16.00,1791.60,283.00,false,0,
Castletown Finea Coole Whitehall,Castletown,53.75317300,-7.33359400,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.753173,-7.333594",,78.00,942.90,267.00,false,0,
Castletown Geoghegan,,53.44870300,-7.48289400,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.448703,-7.482894",,95.00,991.00,263.00,false,0,
Castletown Liam Mellows,Coolgreany Community Field,52.76293910,-6.23294280,Leinster,Ireland,Wexford,Wexford,"https://maps.google.com/?daddr=52.7629391,-6.2329428",https://twitter.com/castletowngaa,61.00,1052.90,238.00,false,0,
Castletown Liam Mellows,Páirc Perry,52.71014400,-6.20440200,Leinster,Ireland,Wexford,Wexford,"https://maps.google.com/?daddr=52.710144,-6.204402",https://twitter.com/castletowngaa,34.00,1015.30,240.00,false,0,
Castletownroche,,52.17242200,-8.47518700,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=52.172422,-8.475187",https://twitter.com/ctr_gaa,68.00,1095.40,247.00,false,0,
Caulry,,53.43186600,-7.79701900,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.431866,-7.797019",,77.00,969.20,267.00,false,0,
Causeway GAA,,52.41061800,-9.73635200,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.410618,-9.736352",https://twitter.com/causewayhurling,17.00,1392.20,282.00,false,0,
Cavan GAA,Breffni Park,53.98162300,-7.36061800,Ulster,Ireland,Cavan,Cavan,"https://maps.google.com/?daddr=53.981623,-7.360618",,63.00,1013.70,274.00,false,0,
Cavan Gaels,Terry Coyle Park,53.98803800,-7.36312200,Ulster,Ireland,Cavan,Cavan,"https://maps.google.com/?daddr=53.988038,-7.363122",https://twitter.com/cavangaelsgfc,76.00,1013.28,288.00,false,0,
Celbridge,,53.33126100,-6.52801200,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.331261,-6.528012",https://twitter.com/celbridgegaa,54.00,833.80,251.00,false,0,
Charlestown Sarsfields,Fr. O'Hara Park,53.95883000,-8.80540000,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.95883,-8.8054",https://twitter.com/charlestowngaa,69.00,1233.30,281.00,false,0,
Charleville,,52.35177200,-8.67835500,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=52.351772,-8.678355",https://twitter.com/charlevillegaa,103.00,1015.80,254.00,false,0,
Churchill,,52.27494000,-9.78406700,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.27494,-9.784067",https://twitter.com/gaachurchill,4.00,1385.10,283.00,false,0,
Churchtown,,52.27076500,-8.73646000,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=52.270765,-8.73646",,109.00,960.90,251.00,false,0,
Cill Chomáin GAA,"Páirc an Phobail, Cill Chomain",54.23549700,-9.65367400,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=54.235497,-9.653674",https://twitter.com/cillchomaingaa,21.00,1641.10,311.00,false,0,
Cill na Martra,Páirc Uí Chuana,51.89909500,-9.08358200,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.899095,-9.083582",https://twitter.com/gaacillnamartra?,172.00,1495.20,253.00,false,0,
Cinn Mhara GAA,Faiche Padraic,53.13627000,-8.95299000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.13627,-8.95299",https://twitter.com/kinvaragaa,13.00,1165.50,278.00,false,0,
CIT,,51.88576900,-8.54008900,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.885769,-8.540089",https://twitter.com/corkitgaa,7.00,1271.00,243.00,false,0,
Civil Service Football,Memorial Park,53.34491100,-6.31186300,Leinster,Ireland,Dublin,Dublin,"https://maps.google.com/?daddr=53.344911,-6.311863",https://twitter.com/civilservicegaa,8.00,833.80,251.00,false,0,
CJ Kickhams Mullinahone,,52.51485400,-7.50174700,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.514854,-7.501747",,78.00,965.50,255.00,false,0,
Clane,,53.28925900,-6.69390700,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.289259,-6.693907",https://twitter.com/clanegaa,70.00,801.90,250.00,false,0,
"Clan Na Gael, Dundalk",,54.01100300,-6.41307500,Leinster,Ireland,Louth,Louth,"https://maps.google.com/?daddr=54.011003,-6.413075",https://twitter.com/onceaclan,3.00,884.60,254.00,false,0,
"Clanna Gael GAA, Fontenoy",,53.33765900,-6.21632500,Leinster,Ireland,Dublin,Dublin,"https://maps.google.com/?daddr=53.337659,-6.216325",https://twitter.com/clannagaelfont,6.00,927.50,245.00,false,0,
"Clan na Gael GAA, Lurgan",Davitt Park,54.46235600,-6.34925300,Ulster,United Kingdom,Armagh,Armagh,"https://maps.google.com/?daddr=54.462356,-6.349253",https://twitter.com/clannagael1922,41.00,966.75,278.00,false,0,
"Clann Éireann GAA, Lurgan",Clann Eireann Park,54.47501300,-6.33033300,Ulster,United Kingdom,Armagh,Armagh,"https://maps.google.com/?daddr=54.475013,-6.330333",https://twitter.com/clanneireann1,33.00,966.75,278.00,false,0,
Clann Mhuire GAA,Naul,53.58624100,-6.29257000,Leinster,Ireland,Dublin,Dublin,"https://maps.google.com/?daddr=53.586241,-6.29257",https://twitter.com/clannmhuireclg,76.00,764.10,250.00,false,0,
Clann na Banna GAA,Cottage Park,54.34937100,-6.28202300,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.349371,-6.282023",https://twitter.com/clannnabannaclg,90.00,931.55,282.00,false,0,
Clann na nGael,Ráth Cairn,53.61818700,-6.86765000,Leinster,Ireland,Meath,Meath,"https://maps.google.com/?daddr=53.618187,-6.86765",https://twitter.com/clannnangaelgaa,81.00,876.00,251.00,false,0,
Clann na nGael,,51.65827800,-9.26112300,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.658278,-9.261123",https://twitter.com/scorchersgaa,64.00,1752.50,257.00,false,0,
Clann na nGael,"Kells Road, Athboy",53.62691100,-6.91054200,Leinster,Ireland,Meath,Meath,"https://maps.google.com/?daddr=53.626911,-6.910542",https://twitter.com/clannnangaelgaa,71.00,876.00,251.00,false,0,
"Clann na nGael GAA, Donagheady",O'Connell Park,54.82615400,-7.22647200,Ulster,United Kingdom,Tyrone,Tyrone,"https://maps.google.com/?daddr=54.826154,-7.226472",,174.00,1219.24,300.00,false,0,
"Clann na nGael GAA, Johnstown",,53.36866300,-8.02143900,Connacht,Ireland,Roscommon,Roscommon,"https://maps.google.com/?daddr=53.368663,-8.021439",https://twitter.com/clanngaa,54.00,950.00,264.00,false,0,
Clara,,52.64507000,-7.14644600,Leinster,Ireland,Kilkenny,Kilkenny,"https://maps.google.com/?daddr=52.64507,-7.146446",https://twitter.com/claragaa,72.00,886.90,244.00,false,0,
Clara,,53.33956500,-7.63238200,Leinster,Ireland,Offaly,Offaly,"https://maps.google.com/?daddr=53.339565,-7.632382",https://twitter.com/Clara_gaa_club,49.00,936.40,269.00,false,0,
Clarecastle,,52.81604200,-8.97248100,Munster,Ireland,Clare,Clare,"https://maps.google.com/?daddr=52.816042,-8.972481",https://twitter.com/ClarecastleGAA,7.00,1064.30,265.00,false,0,
Clare GAA,Cusack Park (Ennis),52.84665100,-8.97849500,Munster,Ireland,Clare,Clare,"https://maps.google.com/?daddr=52.846651,-8.978495",,2.00,1064.30,265.00,false,0,
Clare Island GAA,"Fawnglass, Clare Island",53.80233000,-9.95497700,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.80233,-9.954977", https://twitter.com/clare_island,17.00,1529.90,275.00,false,0,
Claremorris GAA,,53.72238200,-8.99457000,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.722382,-8.99457",https://twitter.com/claremorrisgaa,70.00,1234.20,275.00,false,0,
Clarinbridge GAA,,53.23038000,-8.87663800,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.23038,-8.876638",https://twitter.com/ClarinbridgeGaa,13.00,1131.70,277.00,false,0,
Clashmore / Kinsalebeg,,52.00588000,-7.82075300,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=52.00588,-7.820753",https://twitter.com/ckgaaclub,39.00,1233.00,248.00,false,0,
Claughaun,,52.65932900,-8.59450700,Munster,Ireland,Limerick,Limerick,"https://maps.google.com/?daddr=52.659329,-8.594507",https://twitter.com/claughaungaa,20.00,1166.50,263.00,false,0,
Clerihan,,52.40905900,-7.74759600,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.409059,-7.747596",,90.00,985.10,247.00,false,0,
CLG an Cheathrú Ruaidh,Páirc an Chathánaigh,53.25718000,-9.60288000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.25718,-9.60288",https://twitter.com/clgancrua,12.00,1445.00,286.00,false,0,
CLG An Spidéal,Pháirc an Athar Mhic Suibhne,53.24675000,-9.28014900,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.24675,-9.280149",https://twitter.com/clg_anspideal,14.00,1279.70,282.00,false,0,
CLG Cárna-Caiseal,,53.32337700,-9.83014000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.323377,-9.83014",https://twitter.com/clgcarnacaiseal,14.00,1619.30,286.00,false,0,
CLG Laochra Loch Lao,Spórtlann na hÉireann,54.59134800,-5.96857650,Ulster,United Kingdom,Antrim,Antrim,"https://maps.google.com/?daddr=54.591348,-5.9685765",https://twitter.com/lamhdheargclg,16.00,977.48,278.00,false,0,
CLG Mhaigh Cuilinn,Páirc Mhaigh Cuilinn,53.35954300,-9.17508000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.359543,-9.17508",https://twitter.com/maighcuilinn,16.00,1308.00,272.00,false,0,
CLG Mhaigh Cuilinn,Páirc Mhaigh Cuilinn,53.35954300,-9.17501000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.359543,-9.17501",https://twitter.com/maighcuilinn,16.00,1308.00,272.00,false,0,
CLG Micháel Breathnach,,53.24770000,-9.36834000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.2477,-9.36834",https://twitter.com/clgmb,21.00,1445.00,286.00,false,0,
"CLG Naomh Anna, Leitir Móir",Cumann Peile Naomh Anna,53.27827700,-9.66009800,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.278277,-9.660098",https://twitter.com/naomhanna,2.00,1446.10,260.00,false,0,
CLG Oileáin Árann,Páirc Peil Inis Oírr,53.06416300,-9.52225000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.064163,¬†-9.52225",https://twitter.com/clgoileainarann,6.00,1499.40,280.00,false,0,
CLG Oileáin Árann,Pairc Einne Inis Mór,53.10588400,-9.65520100,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.105884,-9.655201",https://twitter.com/clgoileainarann,,1225.20,259.00,false,0,
Clogherinkoe,,53.39008800,-6.99670700,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.390088,-6.996707",https://twitter.com/clogherinkoegaa,88.00,851.40,255.00,false,0,
Clonad,,52.99382000,-7.29616700,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=52.99382,-7.296167",https://twitter.com/clonadgaa,108.00,860.60,253.00,false,0,
Clonakenny,,52.88650200,-7.81808500,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.886502,-7.818085",,130.00,954.30,253.00,false,0,
Clonakilty,,51.62119300,-8.92550900,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.621193,-8.925509",https://twitter.com/clongaa,24.00,1507.60,257.00,false,0,
Clonard GAA,St. Finian's Park,53.45031400,-7.02209200,Leinster,Ireland,Meath,Meath,"https://maps.google.com/?daddr=53.450314,-7.022092",https://twitter.com/clonardgaameath,73.00,884.40,254.00,false,0,
Clonard GAA,,52.33836900,-6.47837500,Leinster,Ireland,Wexford,Wexford,"https://maps.google.com/?daddr=52.338369,-6.478375",https://twitter.com/clonard_gaa,46.00,1132.30,259.00,false,0,
Clonaslee/St Manmans,,53.15135100,-7.52620900,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=53.151351,-7.526209",,108.00,980.50,250.00,false,0,
Clonberne/Kilkerrin,Fr. Stephen's Park,53.55753800,-8.64998000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.557538,-8.64998",https://twitter.com/KilClonGAA,75.00,1059.70,260.00,false,0,
Clonboney,,52.79777100,-9.41348800,Munster,Ireland,Clare,Clare,"https://maps.google.com/?daddr=52.797771,-9.413488",https://twitter.com/clooneyquingaa,67.00,1464.70,265.00,false,0,
Clonbullogue,,53.26284300,-7.08327900,Leinster,Ireland,Offaly,Offaly,"https://maps.google.com/?daddr=53.262843,-7.083279",,69.00,880.60,256.00,false,0,
Clondegad,,52.72021200,-9.06338000,Munster,Ireland,Clare,Clare,"https://maps.google.com/?daddr=52.720212,-9.06338",https://twitter.com/clondegadf,23.00,1142.30,267.00,false,0,
Clondrohid,,51.92972300,-9.01946700,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.929723,-9.019467",https://twitter.com/clondrohidgaa,147.00,1495.20,253.00,false,0,
Clonduff GAA,Clonduff Park,54.20022800,-6.13535200,Ulster,United Kingdom,Down,Down,"https://maps.google.com/?daddr=54.200228,-6.135352",https://twitter.com/clonduffgac,104.00,980.99,287.00,false,0,
Clonea Power,,52.28067200,-7.44549000,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=52.280672,-7.44549",https://twitter.com/CloneaGAA,72.00,1333.30,239.00,false,0,
Clonee GAA,,52.62262800,-6.48107200,Leinster,Ireland,Wexford,Wexford,"https://maps.google.com/?daddr=52.622628,-6.481072",,98.00,1065.10,252.00,false,0,
Cloneen,,52.86844500,-7.16704000,Leinster,Ireland,Kilkenny,Kilkenny,"https://maps.google.com/?daddr=52.868445,-7.16704",https://twitter.com/cloneengaa,147.00,934.80,261.00,false,0,
Clones ,St Tiernach's Park,54.18566000,-7.23398000,Ulster,Ireland,Monaghan,Monaghan,"https://maps.google.com/?daddr=54.18566,-7.23398",https://twitter.com/ClonesGAA,59.00,987.70,264.00,false,0,
Clongeen GAA,,52.30488300,-6.76483200,Leinster,Ireland,Wexford,Wexford,"https://maps.google.com/?daddr=52.304883,-6.764832",,67.00,1206.10,246.00,false,0,
Clonguish,Allen Park,53.76046000,-7.83090800,Leinster,Ireland,Longford,Longford,"https://maps.google.com/?daddr=53.76046,-7.830908",https://twitter.com/clonguishgaa,54.00,983.70,280.00,false,0,
Clonkill,,53.57244600,-7.27367200,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.572446,-7.273672",https://twitter.com/clonkillcc,116.00,953.00,264.00,false,0,
Clonlara,,52.71960200,-8.55760000,Munster,Ireland,Clare,Clare,"https://maps.google.com/?daddr=52.719602,-8.5576",https://twitter.com/clonlaragaaclub,18.00,1166.50,263.00,false,0,
Clonmel Commercials,Clonmel GAA Grounds,52.35328500,-7.71314500,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.353285,-7.713145",https://twitter.com/commercialsgaa,23.00,1039.40,248.00,false,0,
Clonmel Óg,Ned Hall Park,52.36231800,-7.70614200,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.362318,-7.706142",https://twitter.com/clonmel_og,29.00,1039.40,248.00,false,0,
Clonmore,,52.85425800,-6.56995600,Leinster,Ireland,Carlow,Carlow,"https://maps.google.com/?daddr=52.854258,-6.569956",https://twitter.com/clonmoregfc,173.00,999.50,259.00,false,0,
Clonmore Harps,,53.37442800,-7.14065500,Leinster,Ireland,Offaly,Offaly,"https://maps.google.com/?daddr=53.374428,-7.140655",https://twitter.com/harpsclonmore,75.00,878.20,259.00,false,0,
Clonoulty-Rossmore,,52.61214000,-7.95605700,Munster,Ireland,Tipperary,Tipperary,"https://maps.google.com/?daddr=52.61214,-7.956057",,93.00,913.30,252.00,false,0,
Clontarf GAA,"Pitch 34/35, St. Anne's Park",53.36954600,-6.18434100,Leinster,Ireland,Dublin,Dublin,"https://maps.google.com/?daddr=53.369546,-6.184341",https://twitter.com/clontarfgaaclub,15.00,931.70,241.00,false,0,
Clontibret O'Neills,Páirc Uí Néill,54.21854000,-6.84484200,Ulster,Ireland,Monaghan,Monaghan,"https://maps.google.com/?daddr=54.21854,-6.844842",https://twitter.com/clontibretclg,61.00,886.80,258.00,false,0,
Cloonacool GAA,Cloonacool GAA Community Field,54.11535200,-8.75783800,Connacht,Ireland,Sligo,Sligo,"https://maps.google.com/?daddr=54.115352,-8.757838",https://twitter.com/cloonacoolgaa,76.00,1341.90,293.00,false,0,
Cloone GAA,,53.93486200,-7.78723400,Connacht,Ireland,Leitrim,Leitrim,"https://maps.google.com/?daddr=53.934862,-7.787234",https://twitter.com/cloonegaa,52.00,1084.30,272.00,false,0,
Clooney Gaels,Fr. McGuigan Park,54.82385000,-6.38777700,Ulster,United Kingdom,Antrim,Antrim,"https://maps.google.com/?daddr=54.82385,-6.387777",https://twitter.com/ahoghillgaa,115.00,926.94,290.00,false,0,
Clooney Quin,,52.83656600,-8.85606300,Munster,Ireland,Clare,Clare,"https://maps.google.com/?daddr=52.836566,-8.856063",https://twitter.com/clonbony_gaa,37.00,1216.80,265.00,false,0,
Cloughaneely GAA,Páirc Naomh Fionnán,55.14063900,-8.09820300,Ulster,Ireland,Donegal,Donegal,"https://maps.google.com/?daddr=55.140639,-8.098203",https://twitter.com/clgcloughaneely,44.00,1622.85,308.00,false,0,
Clough Ballacolla,The Hawthorn,52.88174900,-7.45169400,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=52.881749,-7.451694",https://twitter.com/clough_bcolla,93.00,845.60,244.00,false,0,
Cloughbawn GAA,,52.46756800,-6.73189000,Leinster,Ireland,Wexford,Wexford,"https://maps.google.com/?daddr=52.467568,-6.73189",https://twitter.com/cloughbawn,88.00,1143.30,239.00,false,0,
Cloughduv,,51.84916000,-8.78382100,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.84916,-8.783821",https://twitter.com/cloughduvhurlin,57.00,1282.30,239.00,false,0,
Clounmacon,,52.48191200,-9.42311700,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.481912,-9.423117",,33.00,1309.70,275.00,false,0,
Cloyne,,51.86534400,-8.12108200,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.865344,-8.121082",https://twitter.com/cloynegaa,22.00,1248.60,259.00,false,0,
Club Iománaíochta Bearna / Na Forbacha,,53.25906000,-9.20853100,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.25906,-9.208531",https://twitter.com/barnafurboutd,28.00,1279.70,282.00,false,0,
Clyda Rovers,,52.08221700,-8.62940400,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=52.082217,-8.629404",https://twitter.com/clydaroversgaa,104.00,1279.50,259.00,false,0,
Cobh,,51.85638500,-8.28533800,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.856385,-8.285338",https://twitter.com/cobhgaa15,82.00,1248.30,249.00,false,0,
Coill Dubh,,53.29446800,-6.82142300,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.294468,-6.821423",https://twitter.com/coilldubhgaa,84.00,866.90,251.00,false,0,
Colligan / Emmets,,52.15780200,-7.68594000,Munster,Ireland,Waterford,Waterford,"https://maps.google.com/?daddr=52.157802,-7.68594",https://twitter.com/colligangaa,149.00,1537.60,257.00,false,0,
Colmcille,Fr. McGee Park,53.82473500,-7.61464100,Leinster,Ireland,Longford,Longford,"https://maps.google.com/?daddr=53.824735,-7.614641",https://twitter.com/colmcillegaa,138.00,1050.20,277.00,false,0,
Commercials Hurling Club,,53.28500100,-6.45947100,Leinster,Ireland,Dublin,Dublin,"https://maps.google.com/?daddr=53.285001,-6.459471",https://twitter.com/commercialshur1,108.00,944.30,257.00,false,0,
Conahy Shamrocks,,52.72043400,-7.29180000,Leinster,Ireland,Kilkenny,Kilkenny,"https://maps.google.com/?daddr=52.720434,-7.2918",https://twitter.com/conahyshamrocks,64.00,909.30,247.00,false,0,
Confey,,53.37455100,-6.48188800,Leinster,Ireland,Kildare,Kildare,"https://maps.google.com/?daddr=53.374551,-6.481888",https://twitter.com/confeygaa,56.00,770.80,245.00,false,0,
"Con Magee's GAA, Glenravel",Fr. Maginn Park,54.98459600,-6.18659300,Ulster,United Kingdom,Antrim,Antrim,"https://maps.google.com/?daddr=54.984596,-6.186593",https://twitter.com/con_magee,178.00,1189.86,299.00,false,0,
Connacht GAA,Connacht GAA Air Dome,53.77426040,-8.85377950,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.7742604,-8.8537795",https://twitter.com/ConnachtGAA,99.00,1230.10,280.00,false,0,
Connacht GAA,Connacht GAA Centre of Excellence,53.77552590,-8.85144790,Connacht,Ireland,Mayo,Mayo,"https://maps.google.com/?daddr=53.7755259,-8.8514479",https://twitter.com/ConnachtGAA,99.00,1230.10,280.00,false,0,
Coolaney/Mullinabreena GAA,Nace O'Dowd Park,54.09545000,-8.66044000,Connacht,Ireland,Sligo,Sligo,"https://maps.google.com/?daddr=54.09545,-8.66044",https://twitter.com/CoolMbreenaGAA,59.00,1341.90,293.00,false,0,
Coolboy GAA,Coolboy Community Field,52.76524000,-6.42702900,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.76524,-6.427029",,131.00,1101.10,251.00,false,0,
Coolderry,,53.01403900,-7.84449100,Leinster,Ireland,Offaly,Offaly,"https://maps.google.com/?daddr=53.014039,-7.844491",https://twitter.com/coolderrygaa,94.00,1022.60,270.00,false,0,
Coolera/Strandhill,Ransboro Park,54.24474000,-8.54230000,Connacht,Ireland,Sligo,Sligo,"https://maps.google.com/?daddr=54.24474,-8.5423",https://twitter.com/cul_strand_gaa,37.00,1281.50,291.00,false,0,
Cooley Kickhams,Fr. Mc Evoy Park,54.01004700,-6.16927300,Leinster,Ireland,Louth,Louth,"https://maps.google.com/?daddr=54.010047,-6.169273",https://twitter.com/cooleykickhams,38.00,961.60,251.00,false,0,
Coolkenno GAA,,52.77805300,-6.62280000,Leinster,Ireland,Wicklow,Wicklow,"https://maps.google.com/?daddr=52.778053,-6.6228",,112.00,952.20,256.00,false,0,
Coolmeen,,52.66674400,-9.22212800,Munster,Ireland,Clare,Clare,"https://maps.google.com/?daddr=52.666744,-9.222128",https://twitter.com/coolmeengaa,36.00,1296.40,272.00,false,0,
Cooraclare,,52.69688500,-9.42651400,Munster,Ireland,Clare,Clare,"https://maps.google.com/?daddr=52.696885,-9.426514",https://twitter.com/cooraclaregaa,39.00,1352.70,279.00,false,0,
Cootehill Celtic,Hugh O'Reilly Park,54.07247900,-7.07964300,Ulster,Ireland,Cavan,Cavan,"https://maps.google.com/?daddr=54.072479,-7.079643",https://twitter.com/cootehill1celt,97.00,962.54,282.00,false,0,
Coralstown/Kinnegad,,53.46110000,-7.10372600,Leinster,Ireland,Westmeath,Westmeath,"https://maps.google.com/?daddr=53.4611,-7.103726",https://twitter.com/crookedwoodgaa,73.00,884.40,254.00,false,0,
Cordal,,52.22178700,-9.38227300,Munster,Ireland,Kerry,Kerry,"https://maps.google.com/?daddr=52.221787,-9.382273",https://twitter.com/cordalgaa,70.00,1303.30,276.00,false,0,
Corduff Gaels,Páirc Eoghain Uí Mhearáin,54.01019700,-6.82086000,Ulster,Ireland,Monaghan,Monaghan,"https://maps.google.com/?daddr=54.010197,-6.82086",https://twitter.com/corduffgaa,176.00,933.80,260.00,false,0,
Cork GAA,Páirc Uí Chaoimh,51.89980800,-8.43533700,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.899808,-8.435337",,3.00,1322.50,239.00,false,0,
Cork GAA,Páirc Uí Rinn,51.89139100,-8.43930800,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.891391,-8.439308",,28.00,1322.50,239.00,false,0,
Corlough GAA,Páirc Chorlaí,54.11805600,-7.74779900,Ulster,Ireland,Cavan,Cavan,"https://maps.google.com/?daddr=54.118056,-7.747799",https://twitter.com/corloughgfc,84.00,1153.66,295.00,false,0,
Cornafean GAA,Páirc Naomh Fionnán,53.95040000,-7.49461000,Ulster,Ireland,Cavan,Cavan,"https://maps.google.com/?daddr=53.9504,-7.49461",https://twitter.com/cornafeangaa,67.00,997.43,293.00,false,0,
Corofin,,52.94496400,-9.06676800,Munster,Ireland,Clare,Clare,"https://maps.google.com/?daddr=52.944964,-9.066768",https://twitter.com/corofingaaclub,21.00,1162.00,260.00,false,0,
Corofin GAA,,53.43737000,-8.86050000,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.43737,-8.8605",https://twitter.com/CorofinGAA,33.00,1203.90,277.00,false,0,
Cortoon Shamrocks,Brownsgrove GAA Pitch,53.56547000,-8.79935100,Connacht,Ireland,Galway,Galway,"https://maps.google.com/?daddr=53.56547,-8.799351",https://twitter.com/cortoonshamrock,77.00,1180.60,263.00,false,0,
Cortown GAA,,53.68419100,-6.85162100,Leinster,Ireland,Meath,Meath,"https://maps.google.com/?daddr=53.684191,-6.851621",https://twitter.com/cortowngfc,61.00,891.40,251.00,false,0,
Courcey Rovers,,51.66370500,-8.59429100,Munster,Ireland,Cork,Cork,"https://maps.google.com/?daddr=51.663705,-8.594291",https://twitter.com/courceysgaa,17.00,1361.00,263.00,false,0,
Courtwood,Kilbracken,53.10383500,-7.08377500,Leinster,Ireland,Laois,Laois,"https://maps.google.com/?daddr=53.103835,-7.083775",https://twitter.com/courtwoodgaa,66.00,815.90,248.00,false,0,
Craanford Fr. O'Regans,,52.67778900,-6.39176200,Leinster,Ireland,Wexford,Wexford,"https://maps.google.com/?daddr=52.677789,-6.391762",https://twitter.com/froreganscford,99.00,1075.00,239.00,false,0,
