Club Name,Recordings,Club Identifier
SANI,62,cd-san-ignacio
C.D. San José de Soria,69,cd-san-jose-de-soria
CD San Lorenzo de Castellon,268,cdsl
CD SAN MARCIAL,196,cd-san-marcial
cd san marcos,24,cd-san-marcos
C.D. SAN MARTIN DE LA ARENA,38,cd-san-martin-de-la-arena
Cd San Roque,45,cd-san-roque
Arrupe Chaminade - SANSE,122,cd-sanse
CD Sant Gabriel juvenil A,98,ue-cornella-8624b9e6
Santos Reyes,96,cd-santos-reyes
CD SANTURTZI KE,65,cd-santurtzi-ke
CDS Men's Aztecc Soccer,71,cds-mens-aztecc-soccer
CD Soneja,32,cd-soneja-1eaf9e84
CD Son Oliva FS,87,son-oliva
CDSport,248,cdsport
Cd sporting club de huelva,40,cd-sporting-club-de-huelva
C.D. STADIUM,18,cd-stadium
CD STB,25,cd-stb
Tedeon,88,cd-tedeon
CDTenerife 1ºEquipo,90,cdtenerife-pro
CD Tenerife - B,246,cd-tenerife-b
CD TENERIFE,1590,cd-tenerife-sad
CD TINAJO,23,cd-tinajo-b53c7e73
CD Toro,61,cd-toro
CD Torremoya,119,cd-torremoya
CDT Pro,343,cdt-pro
cd35600,60,cd-treinta-y-cinco-mil-seiscientos
CD TRINTXERPE,121,cd-trintxerpe
Tropezon,179,cdtropezon
CD Union,137,uralesp
C.D. Unión Sur Yaiza,32,union-suryaiza
CDUP Rugby,18,cdup-rugby
Cd Valladares,11,cd-valladares-820ad4f6
C.D. VALLADARES,189,cd-valladares
C.D VALLESECO,18,cd-valleseco
C.D. VERA,155,cd-vera-5ed32b2f
cd victoria cf,65,cd-victoria-cf-d5dfa24e
C.D. Villanueva de la Cañada,213,cd-villanueva-de-la-canada
CD VITTORIA,56,cd-vittoria
CDW,72,cdw
CD ZAFRANAR,111,cd-zafranar
CD ZAMORA FC,20,cd-zamora-fc
CE 2017,12,ce-2017
CRSA,16,ceader-river-soccer-association
CE Altafulla,130,ce-altafulla
CE Andratx,27,indol-ab
CE Banyoles,89,ce-banyoles-9630233b
CE BASE OLÈRDOLA,29,ce-base-olerdola
CE BERGA,111,ce-berga
BESCANÓ,566,cebescano
CFC,350,cebu-football-club
CE CABRILS,30,ce-cabrils-8cdd906b
Cecil FC,104,cecil-fc-fc79eb12
Cecil FC,20,cecil-fc-9f737583
Lightning Cats,53,cecil-fc-2014-girls
Cecil FC Galaxy,41,cecil-soccer-club-242a2c8a
Cecil FC,198,cecil-soccer-club
C.E. Ciutat d’Inca Futsal,98,ce-ciutat-dinca-futsal
CASSA,124,cedar-ares-select-soccer-association
Cedarcrest High School,199,cedarcrest-high-school-girls-soccer
Cedar Falls Rugby,84,cedar-falls-high-school-rugby
Cedar Falls High School Rugby,46,cedar-falls-high-school-rugby-2a13b538
Cedar Football,88,cedar-football
Cedar High School,83,cedar-high-school
Cedar Hill High School Boys Soccer,15,cedar-hill-high-school-boys-soccer
Cedar Hill High School Girls Soccer,11,cedar-hill-high-school-girls-soccer
Cedar Park Women Soccer,146,cedar-park-women-high-school-soccer-team
CRSA,33,cedar-rapids-soccer-association
CRSA,10,cedar-river-soccer-association-84556532
CRSA,60,cedar-river-soccer-association-cbefcbc1
2012 CSA,156,cedar-stars-2012-green
Cedar Stars Academy,16,nesa-0399e173
CSA,110,cedar-stars-academy-15
CSA HV,146,cedar-stars-academy-hudson-valley
Cedar Stars Academy Monmouth,891,cedar-stars-academy-monmouth
CEDAR STARS,13,cedar-stars-academy-monmouth-5
Cedar Stars Academy Monmouth Girls 06/07G NAL,164,cedar-stars-academy-monmouth-girls-2005-girls-nati
Cedar Stars Academy North,1080,cedar-stars-academy-north
Cedar Stars,47,cedar-stars-academy-staten-island
Cedar Stars,36,cedar-stars-academy-staten-island-d2da663d
CSA U14,143,none
CSA Wayne,109,cedar-stars-academy-wayne
CSA Wayne,408,wayne-soccer-club
CSA 2010,127,cedar-stars-monmouth-2
CSA Monmouth,84,cedar-stars-monmouth-2011-boys-pre-mls
Cedar Stars Monmouth U13,28,cesar-stars-monmouth-nal-u14
CSA & RMHS,131,cedar-stars-academy-bergen-3
Cedar Stars Rush Houston,488,cedar-stars-rush-houston
SUNS,153,cedar-valley
Cedar Valley Soccer Club,410,cedar-valley-soccer-club
Cedarville,194,cedarville-university-3
CEDRATESE CALCIO,11,cedratese-60599b38
CE Farners,255,centre-desports-farners
CEF Bosc de Tosca,78,cef-bosc-de-tosca
Cefn Coed RFC,58,cefn-coed-rugby-football-club
Cefn Cribwr,78,cefn-cribwr-athletic-club
CEFOR CHIO,26,cefor-chio-79220e76
CEFOR TITANES,20,cefor-titanes-863a1532
Cegep Andre-Laurendeau,22,cegep-andre-laurendeau
Cegep de Sainte-Foy,14,cegep-de-sainte-foy
CE Júpiter,39,ce-jupiter
Celbridge GAA,53,celbridge-gaa
Celbridge Town,126,celbridge-town
CeleBreak,2529,celebreak
Celina Soccer,36,celina-high-school-girls-soccer
Celina,47,celina-hs
Celina United,21,celina-united
CE LLAVANERES,34,ce-llavaneres
C.E Lliça d'Amunt,110,ce-llica-damunt
Celta Academy PA,398,celta-academy-pennsylvania
Coach Tony,123,soccer-association-of-columbia-9
Celtic,68,celtic-19d61175
Florida celtic,32,celtic-13aa1b5f
Celtic,23,celtic-93fbf6b7
Celtic 2023-2024,461,surf-eb7ee7bb
Celtic,15,celtic-43916955
Celtic 06/07 E64,29,celtic-0607-e64
Celtic 09 boys  Reeves,81,utah-storm-farris
Celtic,249,utah-avalanche-4
CELTIC CASTILLA CF,103,celtic-castilla-591a3ed1
Celtic ECNL RL,53,westminster-soccer-association
Celtic Elche CF,11,celtic-elche-cf
Celtic,125,impact
Celtic,64,celtic-fc-968ea4f6
Celtic,204,celtic-fc-347b3275
Celtic FC,88,celtic-fc-90d9e196
Celtic FC Chicago Soccer Club,144,celtic-fc-chicago-soccer-club
Celtic FC 07 Premier,40,celtic-footbal-club-07-premier
Celtic FC,132,celtic-football-club-2b2f663c
Celtic_Mo,21,uneeke-manufacturing
2013 Celtic,115,celtics-4
Celtic Soccer Club,153,celtic-soccer-club-4177e4bb
"Celtic, High",77,gators-2
Celtiga FC,70,celtiga-fc
Celtix du Haut-Richelieu,470,celtix-du-haut-richelieu
CE Mananacor,315,club-esportiu-manacor-a2305aba
Public Objectiu Internet e Ideas S.L. - B67245894,28,cemataro
CE NAVAS,27,ce-navas
CenCal Youth Sports,14,cencal-youth-sports
Cenla Hoops,99,cenla-hoops-5a4eea30
Centaurs,48,centaurs-rugby-singapore
Centenary Stormers F.C.,126,centenary-stormers-fc
Colts Varsity,58,centennial-colts-varsity
CFC,38,oregon-premier-soccer-club
Centennial High School,143,centennial-high-school
Centennial Hawks,54,centennial-high-school-5
Centennial High School,65,centennial-high-school-88595b6a
Centennial High School,29,centennial-high-school-960802bd
Centennial High School,121,centennial-high-school-boys-soccer
Centennial Soccer Club,73,centennial-u13-boys
CHS- Soccer,103,lady-central-soccer
CG,228,center-of-gravity
Centerville Abington School District,67,centerville-bulldogs-soccer
Centex,168,centex-storm-08g
Central Arkansas Christian Schools,47,central-arkansas-christian-schools
Central Arkansas Soccer Club,52,central-arkansas-soccer-club-f0e99d97
CASC,71,central-arkansas-soccer-club-2012g-thundercats
Central Arkansas Soccer Club,62,central-arkansas-soccer-club-8a8e7795
Central Brevard S.C.,87,central-brevard-soccer-club
CBSC,25,central-brooklyn-soccer-club
Central Burnett Rugby League,39,central-burnett-rugby-league
Central California Soccer Alliance,20,central-california-soccer-alliance-09g-8734aded
Alliance - Kingsburg,168,central-california-soccer-alliance-dc31ebcd
Wildfire,52,central-carroll
Central Carroll Bulldogs,62,central-carroll-bulldogs
CCSC,108,central-carroll-soccer-club-3
Central Carroll SC,100,central-carroll-soccer-club-2
Central Catholic High School,62,central-catholic-high-school
Central Catholic High School,38,central-catholic-high-school-fa758252
Central City Football Club,89,central-city-player-developmental-academy
Condors,43,central-coast-condors-boys-09north
Condors,195,central-coast-condors-fc
Dynasty,80,central-coast-dynasty-fc
CC Dynasty FC - Valenzuela,163,michael-valenzuela
Central coast fc,24,central-coast-fc
Central Coast Football,91,central-coast-football
CCM,101,central-coast-mariners-4342c8a5
Central Coast Mariners Academy,843,central-coast-mariners-academy-bc07426a
Mariners,36,central-coast-mariners-womens
CCRLRA,13,central-coast-rugby-leagye-referees-association
Central Coast Sports College,364,central-coast-sports-college-c5f85cc5
Outlaws,17,outlaws
CVSC VIPERS G09,47,cvscvipersg09
Central Coast Surf Elite - G13,61,coastal-valley-soccer-club-strikers-g13
Real G07,177,cvsc-real-g07
Central Coast Surf g2010 blue,27,central-coast-surf-g2010-blue
Central Coast United,91,central-coast-united-d8a280f2
CCU,17,northbridge-bulls-fc
Central Coast United,165,central-coast-united-soccer-club
CCC Raiders,139,central-community-college
Blue Devils,125,central-connecticut
Central Connecticut State University,26,central-connecticut-state-university
Central Español,81,uruguay-montevideo-football-club
Florida Footballers,31,auburndale-scream-u12g
Central Florida SC,186,central-florida-soccer-club
Central Florida United,15,central-florida-united
Central,102,central-football-academy
Central Football Club,30,central-football-club-2729d4eb
Central Hardin Boys Soccer,79,central-hardin-high-school-boys-soccer-team
CHHS Girls Soccer,206,central-hardin-high-school-girls-soccer
Central Highlands Rugby League,60,central-highlands-rugby-league
Central High School Soccer,24,central-high-school-phenix-city-soccer
CIFC,67,central-indiana-futbol-club
CI soccer,328,central-islip-soccer-club
Central Jersey FA,355,central-jersey-futbol-alliance
Central Jersey Futbol Alliance,132,central-jersey-futbol-alliance-cb4b7b35
Central Kansas United,256,fc-wichita-north
CKY Storm,259,central-kentucky-soccer-club
Central KY Storm,99,central-kentucky-storm
Central Kentucky Storm,30,central-kentucky-storm-78743e9f
Central KY Storm 2013 Girls,17,central-kentucky-storm-2013-girls
Central Lacrosse,150,central-lacrosse
Central Magnet,58,central-magnet
Central Michigan University,61,central-michigan-university-womens-soccer
Central Mountain Boys Soccer,88,central-mountain-boys-soccer
CM Wildcats Soccer,13,central-mountain-wildcats-boys-soccer-team
CENTRAL OHIO ELITE,753,central-ohio-elite-soccer-club
Central Park Rangers FC,53,central-park-rangers-fc
CPFH,99,central-penn-field-hockey
Central PHX Colts,15,arcadia-jr-titans
Central Valley Football Academy 2014B,122,ajax-united-2014b-green
CENTRAL VALLEY 2013G,99,central-valley-futbal-academy
CVFA,62,central-valley-futbol-club
CVP Elite 09 boys,15,central-valley-premier
Central Valley,81,strikers-798c7e52
CVU-06,43,central-virginia-united-soccer
CVU Soccer Club,194,central-virginia-united-soccer-club
Central Washington Sounders,131,central-washington-sounders-3
Central Washington Sounders,31,central-washington-founders
CWS Ketcham,159,central-washington-sounders-83eadeca
CWS,14,central-washington-sounders-2
CWS B2008 Stevenson,164,central-washington-sounders-9b4a62ae
CWS B10 Navy,72,central-washington-sounders-boys-10-navy
CWC Soccer,87,central-wisconsin-christian-soccer
CE Sallent,43,ekenas-if
CENTRE OMNISPORTS LOZERE,130,centre-omnisports-lozere
Sport- études  VD Unihockey,33,lausanne-universite-club
Centre Skills,48,centre-skills-football-club
Centre Women's Soccer,43,centre-womens-soccer
Centro Allavena,54,centro-allavena
CENTRO DE ALTO RENDIMIENTO HD SPORTS,639,centro-de-alto-rendimiento-hd-sports
C.A.R. Toros A.C.,106,centro-de-alto-rendimiento-toros-ac
CEDAR OSCAR LINTON,18,centro-de-desarrollo-para-el-alto-rendimiento
Club Deportivo Pumas,62,centro-de-formacion-pumas-pachuca
CD Barco,28,centro-deportes-barco
Centro Deportivo Israelita,200,centro-deportivo-israelita-762152a6
Centro Sportivo Imbersago,365,centro-sportivo-imbersago
CENTRUM PIŁKARSTWA MŁODZIEŻOWEGO s.c.,16,centrum-pikarstwa-modziezowego-sc
CENTURIONS,67,centurions
Century,33,century-681a118d
Century 2010 B Gold,21,century-2010-b-gold
Century B06/07 Red,22,century-united-621c52e9
Century CF / TJSC Travel,324,century-cf
Century,83,century-high-school-boys-soccer
Century High School,42,century-high-school-5f8e941d
Century High School,15,century-high-school-f7312ca5
CHS Boys Soccer,56,century-high-school-boys-soccer-7716cf95
Century United,165,century-united
Century,25,century-united-0057a1e7
Century United (North),46,my-clubhouse-19d8e494
Century United,30,century-united-north-park
CE Olimpic Can Fatjó,113,ce-olimpic-can-fatjo
Selff,223,selff
Penya Bons Aires,95,ce-penya-bons-aires-salt
Klub Sportowy Ceramika Muchówka,24,ceramika-muchowka
CERC. A. BOULAY,121,cercle-athletique-boulay
Cercle Brugge KSV,32,cercle-brugge-ksv-94049736
Cercle Paul Bert Bréquigny,233,cercle-paul-bert-brequigny-foot
CS Fola Esch,175,cercle-sportif-fola-esch
Cercle sportif lilas romainville,25,cercle-sportif-lilas-romainville
CS Veymerange,78,cercle-sportif-veymerange-elange
Cerdanyola FC,16,cer
Ceres Earthquake FC,128,ceres-earthquake-fc-6272139c
Ceres Earthquakes,11,ceres-earthquakes-eb83dcdc
Ceres GmbH,25,ceres-gmbh
Ceres Rush,116,ceres-earthquake-fc-2
Ceres Youth Soccer Organization,38,ceres-youth-soccer-organization
Cerezo Osaka Academy,1509,cerezo-osaka-sports-club
CPFC,42,cergy-pontoise-football-club
Cerritos College,122,pateadores-0d9d1973
Falcon Athletics,22,cerritos-college-falcons-athletics
CERRITOS FC,13,cerritos-fc
Allen ladies,147,california-rush-azul
Certifed Lions FC,20,certifed-lions-fc
CESA 2011B NLSC,16,cesa-247d0f0d
CESA,20,cesa-f850a0b1
CE Sabadell,1208,ce-sabadell
Sabadell,16,ce-sabadell-fc-3
CESA Devin Jeanfreau,41,cesa-devin-jeanfreau
CESA - Flassing,219,carolina-elite-soccer-academy
Texans Rios,146,cesar-rios
Valdivieso,133,davie-united-soccer-club-inc
Cesena FC,160,cesena-football-club
Český lev - Union Beroun,97,cesky-lev-union-beroun-b9a516ca
Cesky United,193,cesky-united
Cessnock City hornets FC,152,cessnock-city-hornets-fc-3e6acb23
Classics Elite,551,arroyo-08-girls-celtic-warriors
CE.VENDRELL,28,cevendrell
CF RODRIGUEZ,66,concorde-fire-6dd66494
CFA,51,cfa-8faf0e57
CFA,124,cfa-695af54e
CFA,13,cfa-012ea139
CFA,11,cfa-776c16c1
CFA,42,cfa-c9d8ce0b
CFA 2012,158,dragons-fc-87eb2186
"CFA, Aliso Niguel HS",70,cfa-aliso-niguel-hs
CFA Escola/Culture FC,69,cfa-escolaculture-fc
CF ALBUIXECH,82,tono-arminana
CF Alella,20,cfalella
C.F. Amisport,102,san-juan-bautista-universitario-a9e47591
CFA Quart de les Valls,299,atletico-saguntino-e184cd5b
CFA Soccer Club,50,cfa-soccer-club
Gironella,169,club-futbol-atletic-gironella
CF ATLETICO MONCADENSE,48,cf-atletico-moncadense
CFA United Rosen,80,cfa-united-rosen
C.f.barceloneta,16,cfbarceloneta
CFB Binefar,72,cfb-binefar
CFB Ciutat de Valencia,26,cfb-ciutat-de-valencia-2a60630f
CfB Ford Niehl,128,cfb-ford-koln-niehl-0952-ev
CfB,24,cfb-ford-niehl-600315c0
CF Blanca Subur,122,cf-blanca-subur
CFB PALLARESOS,50,cfb-pallaresos
CF Bufalá,27,cf-bufala
CFC,19,cfc-fa342d6e
Clermont Football Club,58,cfc-fcef0630
CFC 2010 Boys,17,cfc-2010-boys
CFC 2014 G Navy,23,cfc-2014-g-navy-bf1899a8
CF Callús,34,cf-callus
CFC Barcelona,191,israel-ausua
CF Cerdanyola,156,marcet-alevin
CFC G10 Navy,35,cfcg10
CFC G12 Green,23,cascade-fc-1dc6869c
CY Clubs,75,university-of-chicago-lab-school
CFC North Sullivan,28,cfc-north-2009-girls-ecnl-rl
CF CRACKS,171,cf-cracks
CFC Rainham,34,cfc-rainham
CFC U15,26,cfc-u15
CF Cubelles,189,cf-cubelles
CFC United,82,cutting-edge-360
CFC,50,connecticut-football-club-0c76389b
CFC VEO,10,cfc-veo
C.F. ÉPILA,47,cf-epila
CF ESPLAIS,69,cf-esplais
Cff. Ciudad de Dos Hermanas,56,cff-ciudad-de-dos-hermanas
CF Fire 06/07B ECRL Platinum,26,concorde-fire-0607b-ecrl-platinum
CF Fogars de la Selva,27,cf-fogars-de-la-selva
CFF OLYMPIA LAS ROZAS,37,cff-olympia-las-rozas-a2ca8f2a
CFF OLYMPIA LAS ROZAS,13,cff-olympia-las-rozas-0524f231
CF FUENLABRADA,13,emf-moraleja-de-enmedio
CF Gandia,102,cfgandia
CF Hernan Cortes,161,cf-hernan-cortes
CFHS Girls Soccer Booster Club,35,cfhs-girls-soccer-booster-club
C.F. inter de Valdemoro,80,cf-inter-de-valdemoro
CF Inter San Jose,120,cf-inter-san-jose
CF Jacetano,67,cf-jacetano
CF Jesús Catalònia,34,cf-jesus-catalonia
CF Juventud 25 de Septiembre,45,cf-juventud-25-de-septiembre
CF JUVETUD LAGUNA,178,union-deportiva-matanza-culegas
CF LA NUCIA,71,cf-la-nucia-57fc67ef
CF LLORET,682,cf-lloret
C.F. Montañesa,45,cf-montanesa
CF Monterrey Rayados,25,cf-monterrey-rayados-5ee6117c
CFM,12,cf-montreal-3
CF Montreal Academy,597,montreal-impact-academy
CF NUCIA,15,cf-nucia-3df0c989
CF NULES,37,cf-nules
CF. Olimpic la Garriga,41,cfolimpic-la-garriga
CFP,13,cfp
CF PALAUTORDERA,30,cf-palautordera
CF Peralada,52,cf-peralada
Neveros,119,asociacion-club-neveros
CF POBLA DE MAFUMET,42,cf-pobla-de-mafumet
C F PROMESAS TORREVIEJA,27,c-f-promesas-torrevieja
CF Promeses Sueca,95,cf-promeses-sueca
CF QUINTINENC,47,club-cf-quintinenc
CFR 2009,121,crf-2009
CF Rayo Majadahonda,14,cf-rayo-majadahonda
Rocafonda,11,cf-rocafonda-b62f31d5
C.F. San Pedro,135,cf-san-pedro
CF  San Rafael,12,cf-san-rafael
CF Sant Feliu,467,cf-sant-feliu-de-guixols
C.F. SANTO DOMINGO JUVENTUD,155,cf-santo-domingo-juventud
CFSC,2044,cfsc
CFSC U15,40,central-florida-soccer-club-969f1323
F.C.,157,columbus-sc
CF SPORTING SAN FUL,38,stepp-football-europe
CF Tordera,64,cf-tordera
CF Tortosa Ebre,32,unio-esportiva-tortosa-ebre
CF UNION VIERA,201,cf-union-viera
LA VALL,252,cf-vall-den-bas
CFVHSC,66,cfvhsc
CF Vilanova de la Barca,26,cf-vilanova-de-la-barca
CF Vila-seca,128,cf-vila-seca
CF VILLANOVENSE,142,cd-castuera
Cfyfl youth football,13,cfyfl-youth-football
CGA,180,cga
CGA Academy Soccer Club,131,cga-academy-soccer-club
CGL soccer,44,cgl-soccer
CG Sports TV,90,ums-pontault-combault
Chabe Blanco,12,chabe-blanco
FC CHABEUIL-26-,49,chabeuil
Chabot,42,chabot-college-mens-soccer
Chabot College,30,chabot-college
Chackbay Cajuns,23,chackbay-cajuns
Wisconsin United,294,chad-a-blahnik
chad beard,50,chad-beard-f2c6b153
Chad Veo,126,chad-bohms-veo-camera
CHAD BROOKS,167,chad-brooks
Chadderton Cott AFC,78,chadderton-cott-afc
Chadderton Cott AFC,21,chadderton-cott-afc-0bc991be
Chadderton FC,136,jamie-clarke
CCRFC,26,chaddesley-corbett-rugby-club
Chaddesley Ravens,91,chaddesley-ravens-u10-mjpl
Chad Lambourne,17,chad-lambourne
Utica Academy Of Science Charter School,33,chad-newton
Chadormalu,29,chadormalu-ardakan
Chadwell Heath Academy,103,chadwell-heath-academy-73a61cfc
Chaffee County United - Salida High School,29,chaffee-county-united-salida-high-school
Chafford Dynamite Purple,20,chafford-dynamite-purple
BOUGATTAYA,129,u11
CGXS,65,chalfont-saints-cobras
Chalfont St Peter AFC,102,chalfont-saint-peter-afc
Saints,303,chalfont-saints
Saints,131,chalfont-saints-2
Saints,83,chalfont-saints-lions
Ry and Jim,296,garforth-juniors
Chalkanor,185,chalkanoras
Challenge,93,dynamo-fc-woodforest-12-orange
Challenge,12,challenge-15
Challenge 2012 RL,27,challenge-2012-rl
Challenge ECNL,26,challenge-ecnl-12
JFD AVOCAT,23,challenge-football-center
Challengers,37,challengers
Challenge,59,challenge-sc-188dc3f3
Challenge,30,challenge-soccer-clib
Challenge Soccer Club,2547,challenge-soccer-club-3
Challenge,26,challenge-soccer-club-c8b0a2c7
moreland city,122,moreland-city-0ed63293
Chalotte Soccer Academy,28,na-c44c5861
Chaluppe Soccer Club,24,chaluppe-soccer-club
Chamacos FC,42,chamacos-fc-of-the-woodlands-llc
Chamberlain,156,soccer-029815d3
CSF,222,chambery-savoie-football-0199c5bb
CHAMBRAY FOOTBALL CLUB,34,chambray-football-club
Chaminade,20,chaminade-college-preparatory-high-school
chaminade girls soccer,40,chaminade-girls-soccer
Chaminade High School,22,chaminade-high-school
Chamma,254,chamma-sports-cam
Cnfc,48,chamois-niortais-football-club-e0e8d67e
Champa,12,champagnat-6b372162
CHAMPAGNE,25,champagne-e491ba77
Champagnole Rugby,15,champagnole-rugby-ee964047
Champaign Centennial,120,champaign-centennial-high-school-soccer
Champion,16,champion-181f6be1
Champion,265,champion
Champion High School,33,champion-high-school-2
Champions FC,43,champions-fc-5cbe6d83
Champions,54,champions-football
Champions Park,81,champions-park
Champions Premier,95,champions-premier
Alvaro Plaza champions,321,champions-sports-films
Champions Youth Soccer League,89,champions-youth-soccer-league
CVU Soccer,84,champlain-valley-union-high-school
Champz,42,champz
Chane Club,13,chancefamclub
CSC Football Academy,21,chancellor-state-college
Chandler-Gilbert CC,51,chandler-gilbert-community-college
Chandler-Gilbert Community College,24,chandler-gilbert-community-college-37d1e1e7
CHS Girls Soccer,96,chandler-high-school-girls-soccer
Changing Lives FC,30,changing-lives-fc
CC United Kellner,318,chanhassen-chaska-united
CHANIA,10,anagennisi-karditsas
Chantilly Forever FC,255,chantilly-forever-fc-academy
Chaos FC,385,david-white
Chaos FC 2,11,chaos-fc-2
Chaos,472,chaos-soccer
Chaparral,21,chaparral
Cowboys,58,chaparral-high-school
Chaparral High School,18,chaparral-high-school-1f6fa202
CYSC,61,chappaqua-youth-soccer-club
Chard RFC,71,chard
Charfield AFC,26,charfield-afc-f922eb67
Chargers 2009 Next II,76,chargers-2009-next-ii
Soccer,175,west-florida-flames
Chargers/MiddSouth,34,na-c14c9458
Chargers SC,130,oldsmar-sc
Chargers 2012 girls,17,chargers-soccer-club-095330de
Chargers,151,chargers-soccer-club-clearwater
CHARIS Insurance Group,478,soccer-3
Cccm,12,charleroi-coal-miners
United football academy,23,united-football-academy-af517a24
Charles City,35,charles-city-comets
Charles Gebhard,101,sf-sports
Charles Kim Veo,24,nj-premier-850e9bf1
CMR Soccer,33,charles-m-russell-eb3ddb1d
CF O's Armacenenses,102,john-nichol-cars
Charleston City FC,418,charleston-city-fc
Charleston Elite,71,charleston-elite-7f67bdc1
2028,22,charleston-elite-2028
Charleston Southern Soccer,126,charleston-southern-womens-soccer
Charleston United Soccer Club,79,charleston-united-soccer-club-9c740445
CUSC,225,carolina-renegades
Charlestown & Umina,35,charlestown-azzuri-3f976373
Charlestown Azzurri F.C,416,charlestown-azzurri-fc
Charlestown Boys Soccer,58,charlestown-high-school-boys-soccer-team
Charlestown Jnr FC,30,charlestown-junior-football-club
Charlestown Sarsfields GAA,34,charlestown-sarsfields-gaa-club
Charlie Ayris,14,charlie-ayris
Hornchurch FC,62,charles-leach
Charlie Möbelmontagen GmbH,158,charlie-mobelmontagen-gmbh
CSA,70,charlotte-42
Charlotte county soccer Federation,557,charlotte-county-soccer-federation
Fall 2023,107,wesley-chapel-weddington-athletic-association
Charlotte Eagles,258,charlotte-eagles-soccer-club-3
Charlotte FC Academy,770,charlotte-football-club-2
Charlotte Independence Soccer club,20,charlotte-independence-soccer-club-6ecc04e7
Charlotte Independence,46,charlotte-independence-soccer-club-cbf3d448
Charlotte Metro,71,charlotte-metro-futbol-club
CSK,150,charlottenlund-sk
charlotte soccer academy,38,charlotte-soccer-academy-f9596d18
CSA,192,charlotte-soccer-academy-8
CSA,11,charlotte-soccer-academy-5cffb0ae
Charlotte Soccer Academy,32,charlotte-soccer-academy-0fe8d0d7
CSA,57,charlotte-soccer-academy-palmetto
CSA NPL,69,charlotte-soccer-academy-b15f4fd4
Charlotte Soccer Academy,21,charlotte-soccer-academy-fc9dc27f
Charlotte Soccer Academy,45,germantown-legends-59d59357
Charlotte SA,130,charlotte-soccer-academy-ee95be44
Charlotte Soccer Academy,120,charlotte-soccer-academy-f4f2d5a3
Charlotte Soccer Academy,232,charlotte-soccer-academy-087bad52
CSA,150,charlotte-soccer-academy-83da0e33
Charlotte SA,51,charlotte-soccer-academy-9359a874
Charlotte Soccer Academy,68,charlotte-soccer-academy-7c1ed277
CSA,36,charlotte-soccer-academy-4
CSA,113,charlotte-soccer-academy-7
CSA North ECNL,602,charlotte-soccer-academy-14
CSA,58,charlotte-soccer-academy-3cd72f3c
CSA,1025,charlotte-soccer-club-huntersville
Privateers,52,charlottetown-privateers
Charlton Athletic Community Trust 21/22,289,charlton-athletic-community-trust-2
Charlton Athletic FC Academy,130,charlton-athletic-fc-academy
Charlton Park RFC,15,charlton-park-rugby-club
Charlton Wildcats Basketball,30,charlton-wildcats-basketball
Charneca da Caparica Futebol Clube,83,seixal-clube-1925
Charnock Richard,181,charnock-richard-football-club-3
Charnock Richard Football Club u21s,98,coppull-united
Chars,76,chars-youth-4a5398c8
Charterhouse School,124,charterhouse-football
Charter Oak Girls Soccer,54,fc-man-united
Charter School of Wilmington,132,charter-school-of-wilmington
Chartres de Bretagne,116,chartres-de-bretagne
Chartreuse Rugby Club,45,chartreuse-rugby-club-e50c81df
CSPA,20,charyl-stockwell-prep
Chase colts,10,chase-colts-football-club
Dutler,23,chase-dutler
Chase Side Youth,155,chase-side-youth
Chase Side Youth U15,17,real-trading-ltd
Chasetown Fc(First Team),213,alvchurch-fc
Chasetown YDP U12,17,chasetown-ydp-u12
Chasetown Youth Development Pathway,184,chasetown-ydp-youth-development-pathway
Chasetown fc,60,witts
Chasetown Youth,44,chasetown-youth-fc-ed608199
Chassieu Rugby,17,chassieu-rugby
Chastards,25,chastards-fc
CHATEAU BOIS GUY,120,chateau-bois-guy
CHATEAUROUX,275,chateauroux
chatenoy rugby club,29,chatenoy-rugby-club-10b1ab58
Chatham Town,918,chatham-town
CHATHAM TOWN,37,chatham-town-35fafbf2
Chatham Town,42,chatham-town-athletic
Chatham Town FC,162,cliffe-woods-colts-football-club
Chatham town football club,26,chatham-town-football-club-b9ee9ab6
Chatham Town,628,chatham-town-football-club
SCSC,50,crwa-2015
Chattanooga Football Club,20,chattanooga-football-club-0b715eaf
Chattanooga Football Club,204,chattanooga-football-club-4
Chattanooga FC,285,chattanooga-football-club-academy
Chattanooga Red Wolves,29,chattanooga-red-wolves-79c0222b
CRWA,293,chattanooga-red-wolves-academy
Chattanooga Red Wolves Academy,59,chattanooga-red-wolves-academy-e2e99c31
Chattanooga Red Wolves,131,chattanooga-red-wolves-academy-3
Chattanooga Red Wolves Academy,286,chattanooga-red-wolves-soccer-club
CSAS,69,chattanooga-school-for-the-arts-and-sciences
CSLA,79,chattanooga-school-for-the-liberal-arts
Nooga Queens,36,chattanooga-womens-rugby-club
Chatterley Vics FC,63,chatterley-victoria-football-club
Chaumont FC,101,chaumont-football-club
Chavez,64,macdowellrugby
CHAVILLE F.C.,270,football-club-de-versailles-78
Chaville FC,386,chaville-football-club
CHC,87,baltimore-celtic-union-kevin
CHCA,71,lady-lions-basketball
CHC-SC,112,strikers-lady-hawks
CH Dragons RLFC Inc,19,ch-dragons-rlfc-inc
Cheadle and Gatley JFC,12,cheadle-and-gatley-jfc
Cheadle Hulme School,213,cheadle-hulme-school
Cheadle SMU,60,cheadle-south-moorlands-united-490dbba6
Cheadle Town,195,manchester-grassroots-tournaments
Cheam H.C,129,cheam-hockey-club
